  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 15:42:09	  -3.997	   0.000	  414.81	 1018.52	   18.24	  1433.9	  -280.4	  -738.9	  -533.3	  1419.8	    60.2	 469.127	   1.218	   972.1	    40.0	  444791	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 15:45:25	  -2.000	   0.000	  415.01	 1018.54	   18.51	  1365.5	  -243.1	  -278.1	   -99.8	  1130.3	    58.5	 469.412	   1.217	   972.6	    40.0	  444376	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 15:46:26	   0.000	   0.000	  415.08	 1018.52	   18.56	  1370.5	  -215.7	   166.3	   320.8	   917.9	    62.9	 469.597	   1.216	   972.8	    40.0	  444310	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 15:48:17	   2.000	   0.000	  415.12	 1018.44	   18.62	  1461.3	  -175.2	   581.1	   708.0	   802.0	    54.1	 470.117	   1.216	   972.9	    40.0	  444195	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 15:49:15	   4.000	   0.000	  415.05	 1018.47	   18.64	  1639.5	  -148.1	   962.8	  1069.3	   758.0	    57.0	 470.876	   1.216	   972.7	    40.0	  444132	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 15:50:31	   6.000	   0.000	  415.11	 1018.52	   18.64	  1898.7	  -132.9	  1305.3	  1405.3	   752.1	    51.7	 472.155	   1.216	   972.8	    40.0	  444180	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 15:51:27	   8.000	   0.000	  415.20	 1018.58	   18.65	  2304.9	   -65.7	  1598.0	  1655.9	   820.7	    28.1	 473.384	   1.216	   973.1	    40.0	  444217	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 15:53:02	  10.000	   0.000	  415.44	 1018.54	   18.68	  3001.2	   -74.2	  1698.9	  1758.8	  1041.9	    53.5	 474.517	   1.216	   973.6	    40.0	  444279	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 15:54:08	  12.000	   0.000	  414.57	 1018.55	   18.72	  3700.2	   -54.7	  1850.5	  1914.3	  1285.9	    55.8	 475.826	   1.216	   971.6	    40.0	  443736	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 15:55:32	  14.000	   0.000	  415.72	 1018.52	   18.74	  4548.6	   -30.5	  1968.7	  2041.6	  1671.7	    50.7	 477.804	   1.216	   974.3	    40.0	  444308	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
