  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 15:32:06	  -4.000	   0.000	 1018.39	   17.78	     0.3	     0.4	     0.0	     0.0	     0.0	     0.0
       0	 15:32:34	  -2.001	   0.000	 1018.42	   17.77	    17.2	     6.3	     5.0	    10.5	   -31.5	    -2.0
       0	 15:32:57	   0.000	   0.000	 1018.39	   17.78	    29.7	     9.2	     8.0	    17.3	   -49.3	    -2.1
       0	 15:33:23	   2.000	   0.000	 1018.42	   17.76	    42.2	    11.5	     9.1	    22.4	   -60.1	    -1.8
       0	 15:33:43	   4.000	   0.000	 1018.48	   17.75	    58.6	    15.1	     9.0	    27.0	   -65.1	    -1.7
       0	 15:34:05	   6.000	   0.000	 1018.46	   17.76	    75.6	    18.3	     7.5	    29.8	   -62.7	    -1.2
       0	 15:34:25	   8.000	   0.000	 1018.43	   17.76	    98.1	    21.9	     4.3	    32.2	   -55.0	     0.2
       0	 15:34:45	  10.000	   0.000	 1018.44	   17.75	   126.9	    27.9	     0.1	    34.8	   -43.0	     1.0
       0	 15:35:03	  12.000	   0.000	 1018.41	   17.74	   172.6	    38.9	    -5.0	    39.8	   -31.7	    -0.3
       0	 15:35:22	  14.000	   0.000	 1018.40	   17.74	   236.4	    58.1	   -10.7	    47.6	   -23.1	    -3.1
